day,precio
2019-02-20,38.24
2019-02-28,38.0275
2019-03-01,38.214285714285715
2019-03-02,39.4425
2019-03-04,39.0
2019-03-05,38.99
2019-03-06,38.73
2019-03-07,39.34
2019-03-08,41.195
2019-03-09,38.555
2019-03-12,36.37
2019-03-13,39.21125
2019-03-14,40.5
2019-03-15,39.47
2019-03-18,38.1
2019-03-22,38.47
2019-03-23,42.16
2019-03-29,40.99
2019-03-30,42.405
2019-03-31,40.11138554216868
2019-04-01,40.91
2019-04-02,42.095
2019-04-03,41.15777777777778
2019-04-04,42.80666666666667
2019-04-05,41.096666666666664
2019-04-08,40.89
2019-04-10,43.699999999999996
2019-04-15,47.88
2019-04-16,43.18333333333334
2019-04-18,41.15
2019-04-29,45.879999999999995
2019-04-30,41.98075297225892
2019-05-01,41.5175
2019-05-02,42.938125
2019-05-03,42.824285714285715
2019-05-04,40.792857142857144
2019-05-05,44.39
2019-05-06,42.73
2019-05-08,41.599999999999994
2019-05-09,42.696666666666665
2019-05-10,40.99
2019-05-22,43.44
2019-05-29,43.355000000000004
2019-05-30,42.49
2019-05-31,42.20333333333334
2019-06-01,42.64023841059603
2019-06-02,44.653333333333336
2019-06-03,43.21
2019-06-04,43.512857142857136
2019-06-05,45.425
2019-06-10,43.39
2019-06-11,43.255
2019-06-12,43.91
2019-06-13,43.724999999999994
2019-06-29,43.44
2019-06-30,52.07
2019-07-01,43.37982905982906
2019-07-02,44.20333333333334
2019-07-03,44.208571428571425
2019-07-05,44.8775
2019-07-08,43.86666666666667
2019-07-09,44.05
2019-07-11,42.29
2019-07-21,45.35
2019-07-22,44.040000000000006
2019-07-23,43.74
2019-07-25,42.77
2019-07-29,42.64
2019-08-07,44.13
2019-08-13,48.93
2019-08-15,44.51
2019-08-16,45.65
2019-08-19,44.7
2019-08-26,42.25
2019-08-31,43.95
2019-09-02,50.8
2019-09-04,41.89
2019-09-05,54.99
2019-09-08,48.96
2019-09-09,48.7
2019-09-11,55.0
2019-09-13,50.905
2019-09-18,45.9225
2019-09-19,45.158727984344424
2019-09-20,47.105000000000004
2019-09-23,46.95666666666667
2019-09-24,46.24
2019-09-30,47.45333333333334
2019-10-01,45.57
2019-10-03,46.94
2019-10-05,52.8
2019-10-10,44.34
2019-10-15,52.5
2019-10-17,45.34
2019-10-22,49.96
2019-11-01,47.43854274611399
2019-11-02,51.122
2019-11-04,51.895
2019-11-05,47.83
2019-11-09,47.965
2019-11-10,37.86
2019-11-11,47.79
2019-11-12,49.23
2019-11-14,49.84202903225807
2019-11-15,60.99
2019-11-16,50.536
2019-11-19,51.6625
2019-11-21,51.29
2019-11-26,50.385000000000005
2019-11-30,50.9
2019-12-01,53.1401832460733
2019-12-02,53.33894736842105
2019-12-03,54.494615384615386
2019-12-04,57.593333333333334
2019-12-05,55.99
2019-12-06,53.48
2019-12-07,53.49
2019-12-09,53.99
2019-12-10,52.69
2019-12-12,53.6
2019-12-17,60.99
2019-12-18,56.31
2019-12-23,52.39
2019-12-24,54.09
2020-01-01,53.27
2020-01-02,53.14
2020-01-04,52.663225806451614
2020-01-06,52.14
2020-01-09,52.480000000000004
2020-01-16,54.25
2020-01-21,56.7
2020-01-24,54.47
2020-01-28,52.09
2020-01-31,53.59
2020-02-04,53.59
2020-02-06,52.74
2020-02-07,57.315
2020-02-08,54.99
2020-02-10,53.39
2020-02-11,54.09
2020-02-28,53.667500000000004
2020-03-02,53.23
2020-03-03,55.45
2020-03-04,54.15
2020-03-05,50.04
2020-03-09,55.29
2020-03-13,58.0
2020-03-25,55.79
2020-03-31,55.79
2020-04-03,51.0
2020-04-04,53.5
2020-04-20,55.24
2020-05-01,55.33
2020-05-12,52.04
2020-05-20,53.14
2020-06-01,55.375
2020-07-07,55.49
2020-07-08,54.49
2020-07-23,52.19
2020-08-03,51.75
2020-08-05,53.32
2020-08-18,54.47
2020-08-19,55.62053915275995
2020-08-20,56.3825
2020-08-21,56.260000000000005
2020-08-24,54.54
2020-09-01,56.35
2020-09-03,54.895
2020-09-05,55.99
2020-09-19,57.90824662813102
2020-09-20,58.475
2020-09-21,59.54
2020-09-22,58.739999999999995
2020-09-23,58.94857142857143
2020-09-24,57.45
2020-09-25,57.225
2020-09-26,59.03
2020-09-28,57.54
2020-10-02,59.34
2020-10-03,57.5
2020-10-06,59.85
2020-10-16,60.103883557261675
2020-10-17,58.70875
2020-10-19,60.826666666666675
2020-10-20,61.42
2020-10-21,60.4
2020-10-22,60.79
2020-10-23,59.19
2020-10-24,59.0
2020-10-25,60.13
2020-10-27,61.78
2020-10-30,60.1
2020-11-03,62.93717948717948
2020-11-04,63.05553571428572
2020-11-05,62.43243902439024
2020-11-06,63.3
2020-11-07,62.08615384615385
2020-11-08,62.209583333333335
2020-11-12,63.2
2020-11-16,63.38
2020-11-23,62.12083574413372
2020-11-24,63.32899999999999
2020-11-25,61.506249999999994
2020-11-26,61.85
2020-11-27,62.65714285714286
2020-11-30,64.8
2020-12-02,61.1
2020-12-03,62.05
2020-12-08,62.0
2020-12-09,64.9
2020-12-11,62.5
2020-12-16,65.24340357598979
2020-12-17,65.602
2020-12-18,66.5
2020-12-21,67.55
2020-12-23,67.2
2020-12-26,67.4
2020-12-27,66.586875
2020-12-28,66.64666666666666
2020-12-29,68.6
2020-12-30,65.44893709327549
2020-12-31,64.55358024691358
2021-01-01,68.0
2021-01-02,68.1
2021-01-04,66.93333333333334
2021-01-05,67.7332972972973
2021-01-06,69.28287012987013
2021-01-07,68.2
2021-01-08,67.13004032258064
2021-01-09,68.9578947368421
2021-01-10,68.15442211055277
2021-01-11,68.612
2021-01-12,69.36500000000001
2021-01-13,69.93333333333334
2021-01-15,68.16333333333334
2021-01-16,70.72349236641222
2021-01-17,70.56952380952382
2021-01-18,71.7525
2021-01-19,70.25
2021-01-21,72.69725085910653
2021-01-22,71.60000000000001
2021-01-23,73.5
2021-01-24,72.87608695652173
2021-01-25,74.05
2021-01-26,72.5
2021-01-27,72.35
2021-01-29,68.6
2021-01-30,67.96923076923078
2021-01-31,71.65102564102564
2021-02-01,73.2539629865986
2021-02-02,75.26
2021-02-03,70.71000000000001
2021-02-04,71.63333333333334
2021-02-05,75.85000000000001
2021-02-06,74.8848167539267
2021-02-07,74.3279588336192
2021-02-08,76.05
2021-02-09,76.19
2021-02-10,77.8
2021-02-12,70.55833333333334
2021-02-14,76.01443076923077
2021-02-15,73.41499241274659
2021-02-16,75.5
2021-02-17,74.89999999999999
2021-02-18,75.675
2021-02-19,71.51428571428572
2021-02-24,73.9
2021-02-25,75.2
2021-02-26,76.4
2021-02-28,77.0
2021-03-01,77.78
2021-03-02,74.75
2021-03-06,76.9
2021-03-09,77.6
2021-03-15,80.2
2021-03-16,80.24524111675127
2021-03-17,81.55000000000001
2021-03-18,81.25
2021-03-25,83.99
2021-03-27,81.4
2021-03-31,76.0
2021-04-03,76.0
2021-04-06,84.43333333333334
2021-04-09,83.85
2021-04-10,76.0
2021-04-14,82.6
2021-04-17,85.15879365079365
2021-04-18,88.9
2021-04-19,87.96000000000001
2021-04-20,90.5
2021-04-21,85.55000000000001
2021-04-30,85.43
2021-05-04,87.2
2021-05-11,86.6
